Team,W,L,W/L%,GB,PS/G,PA/G
Cleveland Cavaliers (1),56,14,0.8,—,122.3,112.2
Boston Celtics (2),51,19,0.729,5.0,116.5,107.9
New York Knicks (3),44,26,0.629,12.0,116.4,112.2
Indiana Pacers (4),41,29,0.586,15.0,116.6,115.3
Milwaukee Bucks (5),40,30,0.571,16.0,114.5,112.1
Detroit Pistons (6),39,32,0.549,17.5,115.1,112.9
Atlanta Hawks (7),34,36,0.486,22.0,117.4,119.3
Orlando Magic (8),33,38,0.465,23.5,104.8,106.1
Chicago Bulls (9),31,40,0.437,25.5,117.1,119.7
Miami Heat (10),29,41,0.414,27.0,109.0,110.7
Toronto Raptors (11),24,46,0.343,32.0,110.7,115.8
Philadelphia 76ers (12),23,47,0.329,33.0,110.0,115.4
Brooklyn Nets (13),23,48,0.324,33.5,105.4,111.4
Charlotte Hornets (14),18,52,0.257,38.0,105.8,113.9
Washington Wizards (15),15,55,0.214,41.0,108.7,120.7
