Team,W,L,W/L%,GB,PS/G,PA/G
Oklahoma City Thunder (1),64,14,0.821,—,120.0,107.5
Houston Rockets (2),52,27,0.658,12.5,114.4,108.9
Los Angeles Lakers (3),48,30,0.615,16.0,113.4,112.1
Denver Nuggets (4),47,32,0.595,17.5,120.7,117.1
Los Angeles Clippers (5),46,32,0.59,18.0,112.5,108.0
Golden State Warriors (6),46,32,0.59,18.0,113.7,110.8
Minnesota Timberwolves (7),46,32,0.59,18.0,114.0,109.4
Memphis Grizzlies (8),46,32,0.59,18.0,121.7,117.0
Sacramento Kings (9),38,40,0.487,26.0,115.9,115.5
Dallas Mavericks (10),38,41,0.481,26.5,114.5,115.4
Phoenix Suns (11),35,43,0.449,29.0,114.0,116.6
Portland Trail Blazers (12),35,44,0.443,29.5,111.0,114.2
San Antonio Spurs (13),32,46,0.41,32.0,113.9,116.7
New Orleans Pelicans (14),21,57,0.269,43.0,110.0,118.7
Utah Jazz (15),16,63,0.203,48.5,111.7,120.9
