Team,W,L,W/L%,GB,PS/G,PA/G,SOS,Projected wins,Seed
Cleveland Cavaliers,62,16,0.795,—,122.1,112.3,1.21,65.0,1
Boston Celtics,58,20,0.744,4.0,116.9,107.6,-3.65,63.0,2
New York Knicks,50,28,0.641,12.0,116.1,111.7,3.2,51.0,3
Indiana Pacers,47,31,0.603,15.0,117.5,115.2,1.19,49.0,4
Milwaukee Bucks,44,34,0.564,18.0,114.9,112.9,0.2,46.0,5
Detroit Pistons,43,35,0.551,19.0,115.2,113.0,1.84,44.0,6
Atlanta Hawks,37,41,0.474,25.0,118.0,119.8,-3.76,41.0,7
Miami Heat,35,43,0.449,27.0,109.9,109.9,-7.06,40.0,8
Chicago Bulls,36,42,0.462,26.0,117.8,119.9,-2.32,39.0,9
Orlando Magic,38,40,0.487,24.0,105.1,105.6,1.64,39.0,10
Toronto Raptors,29,50,0.367,33.5,110.7,115.2,-3.8,32.0,11
Brooklyn Nets,25,53,0.321,37.0,105.1,111.9,-0.28,26.0,12
Philadelphia 76ers,23,55,0.295,39.0,109.6,115.8,-4.06,26.0,13
Washington Wizards,17,61,0.218,45.0,108.3,120.7,-1.7,19.0,14
Charlotte Hornets,19,59,0.244,43.0,105.7,114.0,4.34,18.0,15
