Team,W,L,W/L%,GB,PS/G,PA/G,SOS,Projected wins,Seed
Oklahoma City Thunder,63,12,0.84,—,120.4,107.1,-1.33,70.0,1
Houston Rockets,49,27,0.645,14.5,114.0,109.1,2.89,51.0,2
Denver Nuggets,47,29,0.618,16.5,121.1,117.0,1.97,50.0,3
Los Angeles Lakers,46,29,0.613,17.0,113.1,112.2,3.46,49.0,4
Minnesota Timberwolves,44,32,0.579,19.5,114.2,109.6,-3.46,49.0,5
Golden State Warriors,44,31,0.587,19.0,113.7,110.9,0.93,48.0,6
Los Angeles Clippers,43,32,0.573,20.0,112.2,108.4,-0.24,47.0,7
Memphis Grizzlies,44,32,0.579,19.5,122.0,117.3,0.39,47.0,8
Sacramento Kings,36,39,0.48,27.0,115.8,115.7,-0.45,40.0,9
Dallas Mavericks,37,39,0.487,26.5,114.9,115.1,1.23,39.0,10
Portland Trail Blazers,33,43,0.434,30.5,110.9,114.3,-2.24,37.0,11
Phoenix Suns,35,41,0.461,28.5,114.4,116.6,4.39,36.0,12
San Antonio Spurs,31,44,0.413,32.0,114.0,116.8,1.57,33.0,13
New Orleans Pelicans,21,54,0.28,42.0,110.2,118.8,2.05,22.0,14
Utah Jazz,16,60,0.211,47.5,111.5,120.1,3.34,16.0,15
