Team,W,L,W/L%,GB,PS/G,PA/G
Cleveland Cavaliers (1),56,12,0.824,—,122.5,111.8
Boston Celtics (2),50,19,0.725,6.5,116.4,108.0
New York Knicks (3),43,24,0.642,12.5,116.7,112.2
Indiana Pacers (4),38,29,0.567,17.5,116.6,115.5
Milwaukee Bucks (5),38,30,0.559,18.0,114.5,112.5
Detroit Pistons (6),38,31,0.551,18.5,115.0,112.7
Atlanta Hawks (7),33,36,0.478,23.5,117.3,119.4
Orlando Magic (8),32,37,0.464,24.5,104.6,106.0
Chicago Bulls (9),29,39,0.426,27.0,116.5,119.8
Miami Heat (10),29,39,0.426,27.0,109.1,110.8
Toronto Raptors (11),24,45,0.348,32.5,110.6,115.8
Philadelphia 76ers (12),23,45,0.338,33.0,110.0,115.0
Brooklyn Nets (13),23,46,0.333,33.5,105.5,111.6
Charlotte Hornets (14),17,51,0.25,39.0,105.7,113.7
Washington Wizards (15),15,52,0.224,40.5,108.7,120.5
