Team,W,L,W/L%,GB,PS/G,PA/G
Oklahoma City Thunder (1),56,12,0.824,—,119.6,107.1
Houston Rockets (2),44,25,0.638,12.5,113.7,109.1
Denver Nuggets (3),44,25,0.638,12.5,121.1,116.7
Los Angeles Lakers (4),42,25,0.627,13.5,113.0,111.4
Memphis Grizzlies (5),43,26,0.623,13.5,122.7,116.8
Golden State Warriors (6),40,29,0.58,16.5,113.3,110.7
Minnesota Timberwolves (7),40,30,0.571,17.0,113.4,109.3
Los Angeles Clippers (8),39,30,0.565,17.5,111.7,108.6
Sacramento Kings (9),34,33,0.507,21.5,116.5,115.6
Dallas Mavericks (10),33,36,0.478,23.5,114.7,115.1
Phoenix Suns (11),32,37,0.464,24.5,114.4,115.8
Portland Trail Blazers (12),30,39,0.435,26.5,110.6,114.2
San Antonio Spurs (13),28,39,0.418,27.5,114.1,116.6
New Orleans Pelicans (14),18,51,0.261,38.5,110.4,119.1
Utah Jazz (15),15,54,0.217,41.5,112.2,119.9
