Team,W,L,W/L%,GB,PS/G,PA/G,SOS,Projected wins,Seed
Cleveland Cavaliers,56,12,0.824,—,122.5,111.8,-0.38,68.0,1
Boston Celtics,50,19,0.725,6.5,116.4,108.0,-2.86,61.0,2
New York Knicks,43,24,0.642,12.5,116.7,112.2,-0.38,53.0,3
Indiana Pacers,38,29,0.567,17.5,116.6,115.5,-0.51,47.0,4
Milwaukee Bucks,38,30,0.559,18.0,114.5,112.5,-0.66,46.0,5
Detroit Pistons,38,31,0.551,18.5,115.0,112.7,1.84,44.0,6
Atlanta Hawks,33,36,0.478,23.5,117.3,119.4,-1.36,40.0,7
Orlando Magic,32,37,0.464,24.5,104.6,106.0,-1.42,39.0,8
Miami Heat,29,39,0.426,27.0,109.1,110.8,-2.08,36.0,9
Chicago Bulls,29,39,0.426,27.0,116.5,119.8,-0.36,35.0,10
Toronto Raptors,24,45,0.348,32.5,110.6,115.8,-3.92,30.0,11
Philadelphia 76ers,23,45,0.338,33.0,110.0,115.0,-1.85,29.0,12
Brooklyn Nets,23,46,0.333,33.5,105.5,111.6,-0.96,28.0,13
Charlotte Hornets,17,51,0.25,39.0,105.7,113.7,0.58,20.0,14
Washington Wizards,15,52,0.224,40.5,108.7,120.5,-1.6,19.0,15
