Team,W,L,W/L%,GB,PS/G,PA/G,SOS,Projected wins,Seed
Oklahoma City Thunder,56,12,0.824,—,119.6,107.1,-0.97,68.0,1
Denver Nuggets,44,25,0.638,12.5,121.1,116.7,0.85,52.0,2
Houston Rockets,44,25,0.638,12.5,113.7,109.1,0.67,52.0,3
Los Angeles Lakers,42,25,0.627,13.5,113.0,111.4,2.0,50.0,4
Memphis Grizzlies,43,26,0.623,13.5,122.7,116.8,1.43,50.0,5
Golden State Warriors,40,29,0.58,16.5,113.3,110.7,-0.53,48.0,6
Minnesota Timberwolves,40,30,0.571,17.0,113.4,109.3,-2.27,48.0,7
Los Angeles Clippers,39,30,0.565,17.5,111.7,108.6,1.75,45.0,8
Sacramento Kings,34,33,0.507,21.5,116.5,115.6,1.44,41.0,9
Dallas Mavericks,33,36,0.478,23.5,114.7,115.1,-0.31,39.0,10
Phoenix Suns,32,37,0.464,24.5,114.4,115.8,4.07,36.0,11
Portland Trail Blazers,30,39,0.435,26.5,110.6,114.2,1.32,35.0,12
San Antonio Spurs,28,39,0.418,27.5,114.1,116.6,1.73,33.0,13
New Orleans Pelicans,18,51,0.261,38.5,110.4,119.1,1.07,21.0,14
Utah Jazz,15,54,0.217,41.5,112.2,119.9,2.33,17.0,15
